學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女
400144,國立臺灣戲曲學院附設高職,31,45,126,96,0,0,21,144,300,40,92
140222,國立臺東專科學校附設高職,44,38,19,8,0,0,36,698,273,132,78
010301,國立華僑高級中等學校,52,86,3,6,8,22,48,714,882,251,279
011301,私立淡江高中,43,70,0,0,9,14,39,718,799,267,303
011302,私立康橋高中,26,25,0,0,1,7,18,395,396,115,106
011306,私立金陵女中,29,82,1,3,3,20,24,0,1092,0,298
011307,新北市裕德高級中等學校,9,25,7,3,4,9,3,28,25,0,0
011309,財團法人南山高中,104,117,5,8,11,26,42,1176,733,430,262
011310,財團法人恆毅高中,47,63,6,10,10,19,24,715,360,202,98
011311,私立聖心女中,11,43,0,9,3,13,9,0,390,0,129
011312,私立崇義高中,5,3,6,6,1,4,13,207,41,32,9
011314,財團法人中華高中,26,22,11,8,4,6,28,797,215,371,85
011315,私立東海高中,39,40,14,11,6,14,56,1641,411,494,120
011316,私立格致高中,73,50,0,0,7,13,46,1275,610,386,206
011317,私立醒吾高中,32,58,4,21,11,26,53,871,996,289,376
011318,私立徐匯高中,28,34,6,2,6,8,15,604,0,147,0
011322,財團法人崇光女中,18,82,0,1,2,14,18,0,800,0,242
011323,私立光仁高中,36,62,8,8,6,14,18,353,430,124,115
011324,私立竹林高中,73,81,1,6,8,16,36,746,775,217,235
011325,私立及人高中,35,34,0,0,5,14,16,361,246,132,91
011329,財團法人辭修高中,39,59,1,3,11,15,19,483,307,102,58
011399,私立時雨高中,48,34,0,1,11,17,15,439,256,152,67
013303,市立泰山高中,83,73,33,8,13,20,70,1802,674,481,206
013304,市立板橋高中,60,85,8,10,3,17,60,1175,1162,441,332
013335,市立新店高中,34,84,39,55,1,18,51,967,969,335,311
013336,市立中和高中,42,84,4,10,3,15,54,1137,893,336,347
013337,市立新莊高中,54,81,5,11,2,16,57,1072,1034,380,374
013338,市立新北高中,48,71,0,0,5,13,51,908,915,338,307
013339,市立林口高中,46,61,0,0,2,17,45,816,920,266,301
014302,市立海山高中,77,188,20,11,4,20,35,671,576,215,202
014311,市立三重高中,53,126,10,3,6,10,40,632,794,160,220
014315,市立永平高中,47,122,11,10,7,12,36,593,662,148,238
014322,市立樹林高中,67,154,17,13,4,16,47,748,923,217,294
014326,市立明德高中,58,89,6,14,8,14,34,579,639,169,183
014332,市立秀峰高中,53,117,12,16,5,17,31,480,563,131,127
014338,市立金山高中,35,66,0,0,3,11,20,280,250,82,73
014343,市立安康高中,43,90,0,0,4,15,33,555,584,153,145
014347,市立雙溪高中,29,36,0,0,5,8,15,227,230,66,64
014348,市立石碇高中,22,51,0,0,4,8,18,252,327,59,106
014353,市立丹鳳高中,77,149,16,20,5,14,30,528,571,146,173
014356,市立清水高中,77,158,21,31,2,17,41,712,756,176,192
014357,市立三民高中,65,151,43,51,2,17,43,750,812,181,204
014362,市立錦和高中,54,139,9,9,2,13,32,570,561,153,167
014363,市立光復高中,36,87,12,17,1,12,18,312,383,73,81
014364,市立竹圍高中,35,57,0,0,1,9,17,343,290,81,70
014381,市立北大高級中學,23,40,0,0,1,6,18,345,364,0,0
020301,國立蘭陽女中,39,59,0,0,2,17,42,3,1559,0,532
020302,國立宜蘭高中,60,49,2,3,8,14,45,1496,191,507,56
020308,國立羅東高中,41,58,0,0,7,13,42,681,874,266,297
021301,私立慧燈高中,54,52,2,2,16,19,21,589,333,159,91
021310,私立中道高中,25,18,0,0,8,8,12,324,164,100,38
024322,縣立南澳高中,16,21,0,0,3,6,10,103,83,35,16
024325,縣立慈心華德福實中,9,17,0,0,6,10,3,49,46,17,16
030302,國立龍潭高中,56,60,8,5,11,19,47,1038,507,309,176
030304,國立桃園高中,60,96,1,5,5,20,66,1285,1217,421,463
030305,國立中央大學附屬中壢高中,64,79,16,36,3,21,60,1229,1138,402,410
030306,國立武陵高中,62,85,17,52,5,20,63,1403,1085,465,388
030316,國立楊梅高中,54,63,0,0,6,18,48,1058,701,307,287
030325,國立陽明高中,45,96,2,1,4,22,60,1135,1225,363,406
030327,國立內壢高中,45,93,0,0,4,19,57,1033,1179,343,430
031301,私立漢英高中,8,7,9,3,12,16,15,197,95,54,32
031309,桃園市育達高中,77,135,15,27,9,19,152,2827,3825,971,1127
031310,私立六和高中,47,80,1,1,11,14,30,851,504,283,156
031311,桃園市復旦高中,57,93,1,7,6,17,36,841,782,311,246
031312,桃園市治平高中,115,120,69,51,9,37,147,3650,2992,1032,862
031313,桃園市振聲高中,78,100,18,11,6,23,77,1553,1951,483,642
031317,私立光啟高中,34,45,41,6,8,19,61,1657,523,484,174
031318,桃園市啟英高中,106,130,40,22,7,25,155,3972,3402,1256,1069
031319,桃園市清華高中,29,25,12,4,8,10,40,730,278,210,98
031320,桃園市新興高中,119,168,19,12,4,29,153,3970,2947,1357,996
031323,私立至善高中,21,28,0,0,7,16,30,591,346,102,64
031324,桃園市大興高中,49,40,10,10,3,7,57,1425,574,378,185
031326,私立大華高中,17,36,1,1,5,10,6,152,110,31,45
034306,市立南崁高中,34,75,0,0,2,14,42,787,794,192,217
034312,市立大溪高中,32,49,0,0,2,8,33,629,613,215,196
034314,市立壽山高中,60,80,0,0,4,13,54,843,1220,225,431
034319,市立平鎮高中,40,78,0,0,3,9,48,933,881,277,321
034332,市立觀音高中,47,88,5,1,4,12,24,500,379,154,122
034347,市立永豐高中,42,124,0,0,0,18,33,671,601,185,197
034399,市立大園國際高中,43,63,0,0,4,11,45,605,1100,145,318
040302,國立竹東高中,36,74,16,8,5,15,48,874,873,280,289
