縣市代碼,縣市名稱,學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女
30,臺北市,400144,國立臺灣戲曲學院附設高職,29,45,0,0,0,0,21,146,280,48,103
14,臺東縣,140222,國立臺東專科學校附設高職,35,37,0,0,8,3,36,598,273,118,47
01,新北市,010301,國立華僑高級中等學校,49,87,6,4,7,19,48,654,866,215,276
01,新北市,011301,私立淡江高中,37,68,0,0,7,15,34,507,555,247,252
01,新北市,011302,私立康橋高中,22,26,0,0,1,3,18,400,361,105,137
01,新北市,011306,私立金陵女中,25,78,1,3,3,19,17,0,737,0,350
01,新北市,011307,新北市裕德高級中等學校,14,32,2,8,10,13,7,44,36,20,18
01,新北市,011309,財團法人南山高中,103,116,8,11,10,25,38,1031,684,391,242
01,新北市,011310,財團法人恆毅高中,39,58,3,3,8,15,18,487,261,179,110
01,新北市,011311,私立聖心女中,12,40,0,0,2,13,9,0,335,0,127
01,新北市,011312,私立崇義高中,5,4,0,0,2,0,8,127,30,40,12
01,新北市,011314,財團法人中華高中,18,15,9,6,3,6,16,363,70,176,40
01,新北市,011315,私立東海高中,15,24,22,10,5,13,27,781,162,411,114
01,新北市,011316,私立格致高中,51,43,6,4,7,10,32,633,296,317,157
01,新北市,011317,私立醒吾高中,22,26,6,7,7,15,33,420,468,219,230
01,新北市,011318,私立徐匯高中,13,26,0,0,5,7,9,304,0,174,0
01,新北市,011322,新北市崇光高中,15,66,0,0,1,12,13,0,500,0,261
01,新北市,011323,私立光仁高中,35,57,7,7,7,14,17,378,311,106,135
01,新北市,011324,私立竹林高中,66,78,1,7,4,17,30,553,424,207,246
01,新北市,011325,私立及人高中,14,16,0,0,0,5,6,119,74,71,50
01,新北市,011329,財團法人辭修高中,25,47,3,2,17,21,12,287,179,139,92
01,新北市,011330,新北市林口康橋國際高中,24,31,1,0,24,27,10,123,122,0,0
01,新北市,011399,私立時雨高中,51,31,0,0,11,18,15,373,240,138,80
01,新北市,013303,市立泰山高中,84,81,0,0,16,18,70,1783,624,367,180
01,新北市,013304,市立板橋高中,51,92,13,16,2,19,60,1191,1146,376,380
01,新北市,013335,市立新店高中,38,88,6,7,2,17,51,945,965,306,320
01,新北市,013336,市立中和高中,40,87,0,0,4,15,54,1171,892,287,297
01,新北市,013337,市立新莊高中,55,80,3,5,4,14,57,1090,1057,340,327
01,新北市,013338,市立新北高中,45,70,0,0,11,9,51,933,943,246,323
01,新北市,013339,市立林口高中,45,60,0,0,1,16,45,729,852,222,265
01,新北市,014302,市立海山高中,81,194,0,0,5,19,33,665,553,190,218
01,新北市,014311,市立三重高中,46,116,5,8,5,12,42,655,772,201,252
01,新北市,014315,市立永平高中,45,112,0,0,6,13,36,617,690,163,218
01,新北市,014322,市立樹林高中,69,153,0,0,5,15,49,658,830,207,282
01,新北市,014326,市立明德高中,66,88,2,10,7,15,36,625,567,128,195
01,新北市,014332,市立秀峰高中,59,112,0,0,4,12,33,453,536,130,157
01,新北市,014338,市立金山高中,37,59,0,0,4,9,18,223,253,75,77
01,新北市,014343,市立安康高中,47,99,0,0,5,13,33,502,553,173,173
01,新北市,014347,市立雙溪高中,29,37,0,0,4,10,15,164,135,42,62
01,新北市,014348,市立石碇高中,26,47,0,0,5,6,18,246,248,78,105
01,新北市,014353,市立丹鳳高中,74,152,0,0,6,13,30,537,543,163,176
01,新北市,014356,市立清水高中,74,146,14,18,2,15,44,698,712,212,236
01,新北市,014357,市立三民高中,64,152,19,23,1,18,46,753,765,222,269
01,新北市,014362,市立錦和高中,50,131,6,14,4,12,33,569,539,161,182
01,新北市,014363,市立光復高中,40,83,0,0,1,11,21,320,383,82,130
01,新北市,014364,市立竹圍高中,41,66,0,0,1,10,21,437,348,125,115
01,新北市,014381,市立北大高級中學,24,50,0,0,2,7,18,363,347,104,105
01,新北市,014399,市立豐珠中學,3,11,0,0,3,4,2,0,14,0,0
02,宜蘭縣,020301,國立蘭陽女中,39,58,0,0,2,17,42,0,1399,1,507
02,宜蘭縣,020302,國立宜蘭高中,62,46,2,3,7,13,44,1393,171,467,63
02,宜蘭縣,020308,國立羅東高中,37,61,0,0,7,11,42,685,730,207,293
02,宜蘭縣,021301,私立慧燈高中,50,48,0,0,14,14,20,522,281,183,116
02,宜蘭縣,021310,私立中道高中,22,13,0,0,7,6,8,182,84,99,64
02,宜蘭縣,024322,縣立南澳高中,27,25,0,0,2,7,9,116,64,18,24
02,宜蘭縣,024325,縣立慈心華德福實中,13,17,0,0,5,9,3,40,58,11,17
03,桃園市,030305,國立中央大學附屬中壢高中,64,81,20,32,4,19,60,1200,1090,407,360
03,桃園市,031301,私立漢英高中,6,1,11,3,9,8,6,57,29,29,21
03,桃園市,031309,桃園市育達高中,69,112,10,30,11,16,146,2213,2931,853,1221
03,桃園市,031310,私立六和高中,46,81,0,0,8,15,30,671,443,278,161
03,桃園市,031311,桃園市復旦高中,53,96,0,0,6,17,36,903,768,286,248
03,桃園市,031312,桃園市治平高中,93,101,62,29,8,31,137,2969,2279,1095,966
03,桃園市,031313,桃園市振聲高中,66,101,16,10,4,23,72,1285,1932,456,622
03,桃園市,031317,私立光啟高中,22,33,3,3,3,9,32,854,237,492,161
03,桃園市,031318,桃園市啟英高中,88,127,51,5,7,20,153,3378,2918,1178,1093
03,桃園市,031319,桃園市清華高中,18,5,5,5,6,8,25,328,109,180,45
03,桃園市,031320,桃園市新興高中,103,155,6,5,5,22,127,3417,2359,1308,988
